task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	15/cd9ed4	26709	ncovIllumina:prepareReferenceFiles:articDownloadScheme (/home/ejoshi/covid/artic-ncov2019-nextflow)	COMPLETED	0	2020-06-23 14:50:23.929	2s	1.6s	15.1%	5.2 MB	24.5 MB	10.2 MB	22.4 MB
5	71/3d9a2a	26813	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00482_S69_L001)	COMPLETED	0	2020-06-23 14:50:24.025	17.5s	17.1s	165.0%	25.8 MB	308.3 MB	761.6 MB	724.8 MB
4	15/70328e	26720	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00451_S38_L001)	COMPLETED	0	2020-06-23 14:50:23.956	21s	20.5s	161.2%	25.8 MB	331.9 MB	887.3 MB	845.7 MB
14	52/6fa4fa	26778	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00456_S43_L001)	COMPLETED	0	2020-06-23 14:50:24.001	24.2s	23.7s	164.2%	25.8 MB	267.8 MB	1.1 GB	1 GB
13	a5/1729f2	28102	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00465_S52_L001)	COMPLETED	0	2020-06-23 14:50:25.930	23s	22.6s	161.7%	25.8 MB	267.9 MB	992.8 MB	947.4 MB
9	5f/90afd7	26744	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00419_S6_L001)	COMPLETED	0	2020-06-23 14:50:23.981	28.8s	28.4s	162.5%	25.8 MB	267.8 MB	1.2 GB	1.2 GB
12	57/c24acb	26857	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00453_S40_L001)	COMPLETED	0	2020-06-23 14:50:24.055	33.2s	32.8s	161.3%	25.8 MB	331.8 MB	1.4 GB	1.3 GB
10	f8/da9ba5	5688	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00441_S28_L001)	COMPLETED	0	2020-06-23 14:50:41.586	19.5s	18.9s	161.3%	25.8 MB	317.9 MB	816.8 MB	779 MB
7	c4/e0b24f	11041	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00422_S9_L001)	COMPLETED	0	2020-06-23 14:50:52.803	12.3s	11.6s	154.9%	25.8 MB	267.8 MB	488.8 MB	463.4 MB
11	05/6f0571	8555	ncovIllumina:sequenceAnalysis:readTrimming (Neg1-20200604-run-12_S87_L001)	COMPLETED	0	2020-06-23 14:50:48.306	17.8s	17.1s	172.5%	25.8 MB	267.8 MB	1.1 GB	1.1 GB
6	1e/d24862	7057	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00435_S22_L001)	COMPLETED	0	2020-06-23 14:50:44.944	22.7s	22.2s	158.6%	25.8 MB	331.8 MB	925.2 MB	882.5 MB
2	22/54003b	16678	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00297_S89_L001)	COMPLETED	0	2020-06-23 14:51:01.128	13s	12.4s	160.4%	25.8 MB	267.8 MB	529.4 MB	503.1 MB
8	86/b693a2	8807	ncovIllumina:sequenceAnalysis:readTrimming (PHLON20-SARS00468_S55_L001)	COMPLETED	0	2020-06-23 14:50:48.935	35.7s	35s	160.7%	25.8 MB	267.8 MB	1.5 GB	1.4 GB
