sample_name,pct_N_bases,pct_covered_bases,longest_no_N_run,num_aligned_reads,fasta,bam,qc_pass
PHLON20-SARS00422_S9_L001,5.29,94.70,11954,265439,PHLON20-SARS00422_S9_L001.primertrimmed.consensus.fa,PHLON20-SARS00422_S9_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00297_S89_L001,0.35,99.65,29799,300876,PHLON20-SARS00297_S89_L001.primertrimmed.consensus.fa,PHLON20-SARS00297_S89_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00441_S28_L001,0.39,99.61,29750,480539,PHLON20-SARS00441_S28_L001.primertrimmed.consensus.fa,PHLON20-SARS00441_S28_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00435_S22_L001,0.45,99.55,29750,515682,PHLON20-SARS00435_S22_L001.primertrimmed.consensus.fa,PHLON20-SARS00435_S22_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00496_S83_L001,8.28,91.72,7661,133132,PHLON20-SARS00496_S83_L001.primertrimmed.consensus.fa,PHLON20-SARS00496_S83_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00482_S69_L001,5.47,94.53,10759,433434,PHLON20-SARS00482_S69_L001.primertrimmed.consensus.fa,PHLON20-SARS00482_S69_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00440_S27_L001,0.36,99.64,29797,339380,PHLON20-SARS00440_S27_L001.primertrimmed.consensus.fa,PHLON20-SARS00440_S27_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00451_S38_L001,0.50,99.50,29755,450399,PHLON20-SARS00451_S38_L001.primertrimmed.consensus.fa,PHLON20-SARS00451_S38_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00490_S77_L001,0.21,99.79,29841,473777,PHLON20-SARS00490_S77_L001.primertrimmed.consensus.fa,PHLON20-SARS00490_S77_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00431_S18_L001,0.85,99.15,27497,266848,PHLON20-SARS00431_S18_L001.primertrimmed.consensus.fa,PHLON20-SARS00431_S18_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00456_S43_L001,10.59,89.41,4628,509665,PHLON20-SARS00456_S43_L001.primertrimmed.consensus.fa,PHLON20-SARS00456_S43_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00419_S6_L001,0.48,99.52,29761,683930,PHLON20-SARS00419_S6_L001.primertrimmed.consensus.fa,PHLON20-SARS00419_S6_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00465_S52_L001,3.50,96.50,18588,523991,PHLON20-SARS00465_S52_L001.primertrimmed.consensus.fa,PHLON20-SARS00465_S52_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00494_S81_L001,1.94,98.06,18604,238654,PHLON20-SARS00494_S81_L001.primertrimmed.consensus.fa,PHLON20-SARS00494_S81_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00459_S46_L001,4.76,95.24,12018,461005,PHLON20-SARS00459_S46_L001.primertrimmed.consensus.fa,PHLON20-SARS00459_S46_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00479_S66_L001,3.23,96.77,12057,350951,PHLON20-SARS00479_S66_L001.primertrimmed.consensus.fa,PHLON20-SARS00479_S66_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00434_S21_L001,0.71,99.29,27504,474675,PHLON20-SARS00434_S21_L001.primertrimmed.consensus.fa,PHLON20-SARS00434_S21_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00420_S7_L001,8.12,91.88,7003,507943,PHLON20-SARS00420_S7_L001.primertrimmed.consensus.fa,PHLON20-SARS00420_S7_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00476_S63_L001,1.23,98.77,24766,704637,PHLON20-SARS00476_S63_L001.primertrimmed.consensus.fa,PHLON20-SARS00476_S63_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00452_S39_L001,0.23,99.77,29836,370643,PHLON20-SARS00452_S39_L001.primertrimmed.consensus.fa,PHLON20-SARS00452_S39_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00444_S31_L001,0.35,99.65,29798,725252,PHLON20-SARS00444_S31_L001.primertrimmed.consensus.fa,PHLON20-SARS00444_S31_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00486_S73_L001,0.24,99.76,29832,157024,PHLON20-SARS00486_S73_L001.primertrimmed.consensus.fa,PHLON20-SARS00486_S73_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00473_S60_L001,2.50,97.50,18597,642360,PHLON20-SARS00473_S60_L001.primertrimmed.consensus.fa,PHLON20-SARS00473_S60_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00448_S35_L001,2.45,97.55,18588,544489,PHLON20-SARS00448_S35_L001.primertrimmed.consensus.fa,PHLON20-SARS00448_S35_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00421_S8_L001,5.26,94.74,7003,509626,PHLON20-SARS00421_S8_L001.primertrimmed.consensus.fa,PHLON20-SARS00421_S8_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00415_S2_L001,0.46,99.54,29765,356744,PHLON20-SARS00415_S2_L001.primertrimmed.consensus.fa,PHLON20-SARS00415_S2_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00469_S56_L001,0.29,99.71,29811,548729,PHLON20-SARS00469_S56_L001.primertrimmed.consensus.fa,PHLON20-SARS00469_S56_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00454_S41_L001,1.31,98.69,24785,260024,PHLON20-SARS00454_S41_L001.primertrimmed.consensus.fa,PHLON20-SARS00454_S41_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00492_S79_L001,0.35,99.65,29799,680803,PHLON20-SARS00492_S79_L001.primertrimmed.consensus.fa,PHLON20-SARS00492_S79_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00468_S55_L001,0.35,99.65,29799,812801,PHLON20-SARS00468_S55_L001.primertrimmed.consensus.fa,PHLON20-SARS00468_S55_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00477_S64_L001,0.18,99.82,29851,624410,PHLON20-SARS00477_S64_L001.primertrimmed.consensus.fa,PHLON20-SARS00477_S64_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00489_S76_L001,0.39,99.61,29788,546016,PHLON20-SARS00489_S76_L001.primertrimmed.consensus.fa,PHLON20-SARS00489_S76_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00453_S40_L001,0.24,99.76,29833,725460,PHLON20-SARS00453_S40_L001.primertrimmed.consensus.fa,PHLON20-SARS00453_S40_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00491_S78_L001,0.30,99.70,29814,409492,PHLON20-SARS00491_S78_L001.primertrimmed.consensus.fa,PHLON20-SARS00491_S78_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00483_S70_L001,0.38,99.62,29790,654862,PHLON20-SARS00483_S70_L001.primertrimmed.consensus.fa,PHLON20-SARS00483_S70_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00497_S84_L001,2.20,97.80,16589,280108,PHLON20-SARS00497_S84_L001.primertrimmed.consensus.fa,PHLON20-SARS00497_S84_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00488_S75_L001,0.35,99.65,29798,351619,PHLON20-SARS00488_S75_L001.primertrimmed.consensus.fa,PHLON20-SARS00488_S75_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00447_S34_L001,0.26,99.74,29827,682468,PHLON20-SARS00447_S34_L001.primertrimmed.consensus.fa,PHLON20-SARS00447_S34_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00466_S53_L001,0.22,99.78,29837,575690,PHLON20-SARS00466_S53_L001.primertrimmed.consensus.fa,PHLON20-SARS00466_S53_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00493_S80_L001,0.23,99.77,29834,509166,PHLON20-SARS00493_S80_L001.primertrimmed.consensus.fa,PHLON20-SARS00493_S80_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00445_S32_L001,0.25,99.75,29828,411056,PHLON20-SARS00445_S32_L001.primertrimmed.consensus.fa,PHLON20-SARS00445_S32_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00472_S59_L001,0.57,99.43,29735,508332,PHLON20-SARS00472_S59_L001.primertrimmed.consensus.fa,PHLON20-SARS00472_S59_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00298_S90_L001,4.16,95.84,12083,248833,PHLON20-SARS00298_S90_L001.primertrimmed.consensus.fa,PHLON20-SARS00298_S90_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00485_S72_L001,1.76,98.12,18643,780385,PHLON20-SARS00485_S72_L001.primertrimmed.consensus.fa,PHLON20-SARS00485_S72_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00462_S49_L001,0.26,99.74,29825,545604,PHLON20-SARS00462_S49_L001.primertrimmed.consensus.fa,PHLON20-SARS00462_S49_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00487_S74_L001,1.62,98.38,18672,196136,PHLON20-SARS00487_S74_L001.primertrimmed.consensus.fa,PHLON20-SARS00487_S74_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00423_S10_L001,3.41,96.59,12091,312373,PHLON20-SARS00423_S10_L001.primertrimmed.consensus.fa,PHLON20-SARS00423_S10_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00437_S24_L001,0.36,99.64,29797,542912,PHLON20-SARS00437_S24_L001.primertrimmed.consensus.fa,PHLON20-SARS00437_S24_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00480_S67_L001,0.29,99.71,29816,419878,PHLON20-SARS00480_S67_L001.primertrimmed.consensus.fa,PHLON20-SARS00480_S67_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00430_S17_L001,10.75,89.26,4397,303111,PHLON20-SARS00430_S17_L001.primertrimmed.consensus.fa,PHLON20-SARS00430_S17_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00460_S47_L001,0.30,99.70,29813,498264,PHLON20-SARS00460_S47_L001.primertrimmed.consensus.fa,PHLON20-SARS00460_S47_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00464_S51_L001,0.17,99.83,29851,486376,PHLON20-SARS00464_S51_L001.primertrimmed.consensus.fa,PHLON20-SARS00464_S51_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00438_S25_L001,0.51,99.49,27477,185304,PHLON20-SARS00438_S25_L001.primertrimmed.consensus.fa,PHLON20-SARS00438_S25_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00478_S65_L001,0.37,99.63,29793,270993,PHLON20-SARS00478_S65_L001.primertrimmed.consensus.fa,PHLON20-SARS00478_S65_L001.mapped.primertrimmed.sorted.bam,TRUE
PHLON20-SARS00495_S82_L001,1.91,98.09,24800,383126,PHLON20-SARS00495_S82_L001.primertrimmed.consensus.fa,PHLON20-SARS00495_S82_L001.mapped.primertrimmed.sorted.bam,TRUE
